Year,Make,Model,Price
2021,Porsche,718 Spyder,97300
2021,Porsche,911,99200
2021,Porsche,Macan,52100
2021,Porsche,Taycan,79900
2021,Porsche,Panamera,87200
2021,Porsche,Cayenne Coupe,76500
2021,Ram,2500 Crew Cab,38575
2021,Ram,1500 Crew Cab,35645
2021,Ram,ProMaster Cargo Van,32385
2021,Ram,ProMaster City,25065
2021,Ram,2500 Mega Cab,47875
2021,Rivian,R1S,77500
2021,Subaru,Crosstrek,22245
2021,Rivian,R1T,75000
2021,Ram,ProMaster Window Van,31540
2021,Subaru,Ascent,32295
2021,Subaru,Impreza,18795
2021,Subaru,Forester,24795
2021,Subaru,Legacy,22895
2021,Subaru,Outback,26795
2021,Tesla,Model S,69420
2021,Tesla,Model X,79990
2021,Toyota,4Runner,36765
2021,Toyota,Avalon,36125
2021,Toyota,Avalon Hybrid,37100
2021,Toyota,Camry,25045
2021,Toyota,Camry Hybrid,27270
2021,Toyota,C-HR,21595
2021,Toyota,Corolla,20025
2021,Toyota,Corolla Hatchback,20715
2021,Toyota,Corolla Hybrid,23600
2021,Toyota,GR Supra,43090
2021,Toyota,Highlander,35085
2021,Toyota,Highlander Hybrid,38735
2021,Toyota,Land Cruiser,85665
2021,Toyota,Prius,24525
2021,Toyota,Prius Prime,28220
2021,Toyota,RAV4,26250
2021,Toyota,RAV4 Hybrid,28500
2021,Toyota,RAV4 Prime,38250
2021,Toyota,Sequoia,50400
2021,Toyota,Sienna,34460
2021,Toyota,Tacoma Access Cab,26400
2021,Toyota,Tacoma Double Cab,27230
2021,Toyota,Tundra CrewMax,38320
2021,Toyota,Tundra Double Cab,34025
2021,Toyota,Venza,32570
2021,Volkswagen,Atlas,31545
2021,Volkswagen,Atlas Cross Sport,30855
2021,Volkswagen,Jetta,18995
2021,Volkswagen,Golf,23195
2021,Volkswagen,Passat,23995
2021,Volvo,S90,60050
2021,Volvo,V90,51800
2021,Volvo,V60,40950
2021,Volkswagen,Tiguan,25245
2021,Volvo,XC40,33700
2021,Volvo,XC60,41700
2021,Volvo,XC90,49000
