ID,Average User Rating,User Rating Count,Price,In-app Purchases,Age Rating,Languages,Size,Genres,Number of Languages,Number of Genres,In-App Purchase Present
1116645064,4.5,283035.0,0.0,"1.99, 2.99, 4.99, 4.99, 6.99, 19.99, 9.99, 8.99, 19.99, 2.99",4+,"ZH, CS, DA, NL, EN, FI, FR, DE, HI, HU, ID, IT, JA, KO, MS, NB, PL, PT, RO, RU, ZH, ES, SV, TH, ZH, TR, UK, VI",443974656.0,"Games, Simulation, Strategy, Entertainment",28,4,N
1117841866,4.5,46733.0,0.0,"1.99, 0.99, 4.99, 4.99, 2.99, 29.99, 9.99, 99.99, 19.99, 0.99",12+,"AR, DA, NL, EN, FI, FR, DE, ID, IT, JA, KO, NO, PL, PT, RU, ES, SV",209278976.0,"Games, Strategy, Role Playing",17,3,N
1118115766,5.0,46634.0,4.99,"1.99, 2.99, 4.99, 0.99, 4.99, 0.99, 3.99, 6.99, 17.99, 11.99",9+,EN,163898368.0,"Games, Strategy, Action, Entertainment",1,4,N
1118513354,4.5,1144.0,9.99,,9+,EN,180508672.0,"Games, Strategy, Casual",1,3,Y
1118766358,4.5,4471.0,0.0,"1.99, 4.99, 9.99, 24.99, 99.99, 49.99",12+,"EN, FR, DE, IT, JA, KO, PT, RU, ZH, ES, ZH",99308544.0,"Games, Simulation, Strategy, Business",11,4,N
1120455929,4.0,6369.0,0.0,"4.99, 19.99, 99.99, 9.99, 0.99, 49.99, 99.99",12+,EN,443020288.0,"Games, Strategy, Entertainment, Role Playing",1,4,N
1120991202,4.5,1251.0,0.0,"0.99, 2.99, 4.99, 4.99, 14.99, 0.99, 49.99, 4.99, 99.99, 99.99",12+,"EN, ZH, ZH",254925824.0,"Games, Adventure, Strategy",3,3,N
1123806108,4.0,682.0,0.0,4.99,4+,EN,131994624.0,"Games, Simulation, Strategy",1,3,N
1124271995,2.5,1016.0,0.0,"19.99, 9.99, 4.99, 99.99, 1.99, 49.99, 5.99",12+,EN,103745536.0,"Games, Adventure, Strategy",1,3,N
1124468718,4.5,2767.0,0.0,"17.99, 8.99, 3.99, 2.99, 4.99, 94.99, 44.99, 19.99, 44.99, 94.99",12+,"AR, ZH, EN, FR, DE, IT, JA, PT, RU, ES, TR",240229376.0,"Games, Simulation, Strategy",11,3,N
1124752613,4.0,1382.0,0.0,"0.99, 4.99, 19.99, 9.99, 99.99, 49.99, 0.99, 0.99, 19.99, 4.99",12+,"AR, NL, EN, FR, DE, ID, IT, JA, KO, PT, RU, ZH, ES, TH, ZH, TR, VI",247993344.0,"Games, Strategy, Role Playing",17,3,N
